id,fecha,franja_hora,gravedad,sexo,edad,vehiculo_1,vehiculo_2,direccion_normalizada,tipo_calle,comuna,latitud,longitud
LC-2019-0536689,2019-08-28,8,LEVE - SIN LESIONES,M,48,TRANSPORTE PUBLICO,SD,SD,SD,6,-34.626996,-58.426759
LC-2019-0536744,2019-08-28,7,LEVE - SIN LESIONES,M,37,AUTOMOVIL,MOTO,SD,SD,15,-34.596343,-58.446599
LC-2019-0536777,2019-08-28,10,LEVE - SIN LESIONES,M,30,AUTOMOVIL,MOTO,SD,SD,4,-34.631121,-58.399168
LC-2019-0537210,2019-08-28,9,LEVE - SIN LESIONES,M,37,AUTOMOVIL,MOTO,SD,SD,10,-34.637184,-58.50479
LC-2019-0537322,2019-08-28,9,LEVE - SIN LESIONES,M,34,PEATON,BICICLETA,SD,SD,6,-34.605234,-58.433635
LC-2019-0537371,2019-08-28,12,LEVE - SIN LESIONES,M,40,AUTOMOVIL,MOTO,SD,SD,1,-34.606899,-58.375588
LC-2019-0537731,2019-08-28,14,LEVE - SIN LESIONES,F,22,AUTOMOVIL,MOTO,SD,SD,7,-34.630341,-58.46969
LC-2019-0537906,2019-08-28,14,LEVE - SIN LESIONES,M,34,AUTOMOVIL,BICICLETA,SD,SD,4,-34.641484,-58.375547
LC-2019-0538075,2019-08-28,14,LEVE - SIN LESIONES,M,38,AUTOMOVIL,MOTO,SD,SD,9,-34.636598,-58.522799
LC-2019-0538238,2019-08-28,16,LEVE - SIN LESIONES,M,23,TRANSPORTE PUBLICO,MOTO,SD,SD,12,-34.569999,-58.509038
LC-2019-0538371,2019-08-28,16,LEVE - SIN LESIONES,M,39,AUTOMOVIL,MOTO,SD,SD,11,-34.610982,-58.529335
LC-2019-0538398,2019-08-28,12,LEVE - SIN LESIONES,M,21,AUTOMOVIL,BICICLETA,SD,SD,7,-34.630633,-58.469784
LC-2019-0538399,2019-08-28,17,LEVE - SIN LESIONES,M,40,AUTOMOVIL,MOTO,SD,SD,4,-34.630389,-58.363359
LC-2019-0538526,2019-08-28,15,LEVE - SIN LESIONES,M,59,AUTOMOVIL,SD,SD,SD,1,-34.601912,-58.391306
LC-2019-0538628,2019-08-28,17,LEVE - SIN LESIONES,M,28,AUTOMOVIL,MOTO,SD,SD,15,-34.582163,-58.456708
LC-2019-0538648,2019-08-28,18,LEVE - SIN LESIONES,F,46,TRANSPORTE PUBLICO,BICICLETA,SD,SD,13,-34.576365,-58.455643
LC-2019-0538671,2019-08-28,17,LEVE - SIN LESIONES,F,35,AUTOMOVIL,BICICLETA,SD,SD,11,-34.608074,-58.504471
LC-2019-0538731,2019-08-28,17,LEVE - SIN LESIONES,M,41,AUTOMOVIL,SD,SD,SD,5,-34.610757,-58.418592
LC-2019-0538737,2019-08-28,18,LEVE - SIN LESIONES,M,41,AUTOMOVIL,MOTO,SD,SD,5,-34.610757,-58.418592
LC-2019-0538738,2019-08-28,19,LEVE - SIN LESIONES,M,39,AUTOMOVIL,MOTO,SD,SD,9,-34.658521,-58.522068
LC-2019-0538743,2019-08-28,19,LEVE - SIN LESIONES,F,44,PEATON,SD,SD,SD,10,-34.610419,-58.502367
LC-2019-0538750,2019-08-28,18,LEVE - SIN LESIONES,M,35,AUTOMOVIL,SD,SD,SD,4,-34.632845,-58.360345
LC-2019-0538848,2019-08-28,20,LEVE - SIN LESIONES,M,25,TRANSPORTE PUBLICO,MOTO,SD,SD,3,-34.604495,-58.395295
LC-2019-0538888,2019-08-28,19,LEVE - SIN LESIONES,M,48,AUTOMOVIL,TRANSPORTE PUBLICO,SD,SD,2,-34.588909,-58.388602
LC-2019-0538888,2019-08-28,19,LEVE - SIN LESIONES,F,26,AUTOMOVIL,TRANSPORTE PUBLICO,SD,SD,2,-34.588909,-58.388602
LC-2019-0538894,2019-08-28,20,LEVE - SIN LESIONES,M,51,TRANSPORTE PUBLICO,MOTO,SD,SD,2,-34.59804,-58.405592
LC-2019-0538927,2019-08-28,21,LEVE - SIN LESIONES,F,26,AUTOMOVIL,MOTO,SD,SD,1,-34.604934,-58.380907
LC-2019-0539533,2019-08-28,5,LEVE - SIN LESIONES,M,56,TRANSPORTE PUBLICO,SD,SD,SD,3,-34.609886,-58.401787
LC-2019-0539050,2019-08-29,23,LEVE - SIN LESIONES,M,20,BICICLETA,MOTO,SD,SD,SD,SD,SD
LC-2019-0539258,2019-08-29,5,LEVE - SIN LESIONES,F,26,AUTOMOVIL,SD,SD,SD,4,-34.660005,-58.420285
LC-2019-0539258,2019-08-29,5,LEVE - SIN LESIONES,F,37,AUTOMOVIL,SD,SD,SD,4,-34.660005,-58.420285
LC-2019-0539327,2019-08-29,8,LEVE - SIN LESIONES,M,37,PEATON,SD,SD,SD,5,-34.628201,-58.419851
LC-2019-0539555,2019-08-29,10,LEVE - SIN LESIONES,F,53,AUTOMOVIL,BICICLETA,SD,SD,5,-34.63609,-58.416193
LC-2019-0539562,2019-08-29,7,LEVE - SIN LESIONES,F,26,AUTOMOVIL,SD,SD,SD,3,-34.607328,-58.406192
LC-2019-0539616,2019-08-29,8,LEVE - SIN LESIONES,M,56,TRANSPORTE PUBLICO,SD,SD,SD,1,-34.597724,-58.371868
LC-2019-0540032,2019-08-29,9,LEVE - SIN LESIONES,F,43,AUTOMOVIL,MOTO,SD,SD,3,-34.611384,-58.396137
LC-2019-0540333,2019-08-29,12,LEVE - SIN LESIONES,M,31,AUTOMOVIL,SD,SD,SD,2,-34.586857,-58.405052
LC-2019-0540363,2019-08-29,13,LEVE - SIN LESIONES,M,28,AUTOMOVIL,MOTO,SD,SD,4,-34.637178,-58.393042
LC-2019-0540387,2019-08-29,13,LEVE - SIN LESIONES,M,25,PEATON,MOTO,SD,SD,1,-34.616218,-58.375984
LC-2019-0540423,2019-08-29,12,LEVE - SIN LESIONES,M,69,AUTOMOVIL,SD,SD,SD,3,-34.618157,-58.391704
LC-2019-0540517,2019-08-29,13,LEVE - SIN LESIONES,M,8,AUTOMOVIL,BICICLETA,SD,SD,12,-34.565862,-58.482765
LC-2019-0540564,2019-08-29,13,LEVE - SIN LESIONES,F,34,AUTOMOVIL,SD,SD,SD,1,-34.610618,-58.359445
LC-2019-0540575,2019-08-29,13,LEVE - SIN LESIONES,M,18,TRANSPORTE PUBLICO,MOTO,SD,SD,11,-34.608566,-58.527117
LC-2019-0540575,2019-08-29,13,LEVE - SIN LESIONES,M,38,TRANSPORTE PUBLICO,MOTO,SD,SD,11,-34.608566,-58.527117
LC-2019-0540783,2019-08-29,14,LEVE - SIN LESIONES,F,15,AUTOMOVIL,SD,SD,SD,11,-34.609729,-58.518079
LC-2019-0541012,2019-08-29,16,LEVE - SIN LESIONES,M,41,AUTOMOVIL,MOTO,SD,SD,5,-34.636501,-58.414413
LC-2019-0541299,2019-08-29,18,LEVE - SIN LESIONES,F,30,PEATON,SD,SD,SD,9,-34.670661,-58.506048
LC-2019-0541420,2019-08-29,17,LEVE - SIN LESIONES,M,48,AUTOMOVIL,MOTO,SD,SD,4,-34.650368,-58.377748
LC-2019-0541431,2019-08-29,17,LEVE - SIN LESIONES,M,30,TRANSPORTE PUBLICO,SD,SD,SD,10,-34.621995,-58.510864
LC-2019-0541445,2019-08-29,19,LEVE - SIN LESIONES,M,40,AUTOMOVIL,SD,SD,SD,15,-34.599873,-58.438768
LC-2019-0541583,2019-08-29,19,LEVE - SIN LESIONES,M,46,TRANSPORTE PUBLICO,MOTO,SD,SD,15,-34.586981,-58.45512
LC-2019-0541608,2019-08-29,17,LEVE - SIN LESIONES,M,60,MOTO,SD,SD,SD,11,-34.609436,-58.498308
LC-2019-0541613,2019-08-29,18,LEVE - SIN LESIONES,M,19,AUTOMOVIL,SD,SD,SD,7,-34.647248,-58.449219
LC-2019-0541628,2019-08-29,18,LEVE - SIN LESIONES,M,36,AUTOMOVIL,MOTO,SD,SD,13,-34.565013,-58.456821
LC-2019-0541659,2019-08-29,17,LEVE - SIN LESIONES,M,38,AUTOMOVIL,MOTO,SD,SD,15,-34.599873,-58.438768
LC-2019-0541664,2019-08-29,18,LEVE - SIN LESIONES,M,30,PEATON,MOTO,SD,SD,14,-34.571168,-58.423249
LC-2019-0541688,2019-08-29,19,LEVE - SIN LESIONES,F,27,AUTOMOVIL,MOTO,SD,SD,15,-34.578296,-58.460226
LC-2019-0541722,2019-08-29,17,LEVE - SIN LESIONES,M,26,TRANSPORTE PUBLICO,MOTO,SD,SD,1,-34.631426,-58.389036
LC-2019-0541749,2019-08-29,21,LEVE - SIN LESIONES,M,33,AUTOMOVIL,BICICLETA,SD,SD,15,-34.604629,-58.447752
LC-2019-0541751,2019-08-29,15,LEVE - SIN LESIONES,M,27,AUTOMOVIL,MOTO,SD,SD,12,-34.574062,-58.502281
LC-2019-0541892,2019-08-29,16,LEVE - SIN LESIONES,F,34,TRANSPORTE PUBLICO,SD,SD,SD,10,-34.624404,-58.521632
LC-2019-0542864,2019-08-29,12,LEVE - SIN LESIONES,M,29,AUTOMOVIL,MOTO,SD,SD,15,-34.58295,-58.460534
LC-2019-0644524,2019-08-29,17,LEVE - SIN LESIONES,F,22,PEATON,SD,SD,SD,14,-34.586526,-58.414041
LC-2019-0539129,2019-08-29,2,LEVE - SIN LESIONES,M,29,SD,SD,ALVAREZ THOMAS AV. y PLAZA,SD,SD,SD,SD
LC-2019-0541527,2019-08-29,17,LEVE - SIN LESIONES,F,52,SD,SD,"SANTA FE AV. y ALVAREZ, JULIAN",SD,SD,SD,SD
LC-2019-0475101,2019-08-30,17,LEVE - SIN LESIONES,M,50,SD,SD,SD,SD,8,-34.679421,-58.479312
LC-2019-0542020,2019-08-30,2,LEVE - SIN LESIONES,M,23,AUTOMOVIL,MOTO,SD,SD,3,-34.609233,-58.391962
LC-2019-0542042,2019-08-30,4,LEVE - SIN LESIONES,M,52,AUTOMOVIL,SD,SD,SD,1,-34.617644,-58.380691
LC-2019-0542156,2019-08-30,6,LEVE - SIN LESIONES,M,53,AUTOMOVIL,MOTO,SD,SD,11,-34.605885,-58.460514
LC-2019-0542191,2019-08-30,6,LEVE - SIN LESIONES,F,49,AUTOMOVIL,SD,SD,SD,1,SD,SD
LC-2019-0542659,2019-08-30,10,LEVE - SIN LESIONES,F,31,PEATON,MOTO,SD,SD,13,-34.55494,-58.462847
LC-2019-0542965,2019-08-30,10,LEVE - SIN LESIONES,M,48,TRANSPORTE PUBLICO,SD,SD,SD,15,-34.590358,-58.438154
LC-2019-0542969,2019-08-30,12,LEVE - SIN LESIONES,F,36,AUTOMOVIL,SD,SD,SD,1,-34.59904,-58.372709
LC-2019-0543066,2019-08-30,10,LEVE - SIN LESIONES,M,42,AUTOMOVIL,SD,SD,SD,1,-34.613636,-58.388958
LC-2019-0543101,2019-08-30,10,LEVE - SIN LESIONES,M,24,TRANSPORTE PUBLICO,MOTO,SD,SD,SD,SD,SD
LC-2019-0543159,2019-08-30,10,LEVE - SIN LESIONES,M,46,AUTOMOVIL,MOTO,SD,SD,15,-34.58744,-58.453898
LC-2019-0543515,2019-08-30,13,LEVE - SIN LESIONES,M,39,AUTOMOVIL,MOTO,SD,SD,3,-34.625456,-58.394845
LC-2019-0543572,2019-08-30,15,LEVE - SIN LESIONES,F,53,AUTOMOVIL,TRANSPORTE PUBLICO,SD,SD,12,-34.564328,-58.469612
LC-2019-0543759,2019-08-30,14,LEVE - SIN LESIONES,M,71,AUTOMOVIL,SD,SD,SD,1,-34.592834,-58.381623
LC-2019-0543792,2019-08-30,15,LEVE - SIN LESIONES,M,28,AUTOMOVIL,MOTO,SD,SD,6,-34.619983,-58.440253
LC-2019-0543805,2019-08-30,14,LEVE - SIN LESIONES,M,34,TRANSPORTE PUBLICO,MOTO,SD,SD,8,-34.662545,-58.427901
LC-2019-0543823,2019-08-30,17,LEVE - SIN LESIONES,M,61,AUTOMOVIL,TRANSPORTE PUBLICO,SD,SD,15,-34.599832,-58.440815
LC-2019-0543872,2019-08-30,16,LEVE - SIN LESIONES,M,20,AUTOMOVIL,BICICLETA,SD,SD,14,-34.582511,-58.427144
LC-2019-0543891,2019-08-30,15,LEVE - SIN LESIONES,M,35,TRANSPORTE PUBLICO,MOTO,SD,SD,15,-34.602479,-58.446831
LC-2019-0543911,2019-08-30,16,LEVE - SIN LESIONES,M,22,AUTOMOVIL,MOTO,SD,SD,4,-34.629326,-58.390932
LC-2019-0543915,2019-08-30,16,LEVE - SIN LESIONES,M,21,AUTOMOVIL,MOTO,SD,SD,15,-34.601059,-58.47313
LC-2019-0544101,2019-08-30,17,LEVE - SIN LESIONES,F,29,AUTOMOVIL,TRANSPORTE PUBLICO,SD,SD,2,-34.59804,-58.405592
LC-2019-0544129,2019-08-30,17,LEVE - SIN LESIONES,M,44,PEATON,MOTO,SD,SD,3,-34.622731,-58.391495
LC-2019-0544142,2019-08-30,17,LEVE - SIN LESIONES,M,41,AUTOMOVIL,BICICLETA,SD,SD,9,-34.651103,-58.521004
LC-2019-0544272,2019-08-30,15,LEVE - SIN LESIONES,M,35,TRANSPORTE PUBLICO,SD,SD,SD,2,-34.597948,-58.413258
LC-2019-0544339,2019-08-30,18,LEVE - SIN LESIONES,M,49,TRANSPORTE PUBLICO,MOTO,SD,SD,SD,SD,SD
LC-2019-0544348,2019-08-30,18,LEVE - SIN LESIONES,M,19,AUTOMOVIL,BICICLETA,SD,SD,14,-34.578682,-58.40692
LC-2019-0544364,2019-08-30,20,LEVE - SIN LESIONES,M,38,TRANSPORTE PUBLICO,SD,SD,SD,1,-34.603819,-58.385008
LC-2019-0544370,2019-08-30,15,LEVE - SIN LESIONES,M,47,TRANSPORTE PUBLICO,MOTO,SD,SD,12,-34.574636,-58.511907
LC-2019-0544409,2019-08-30,19,LEVE - SIN LESIONES,M,32,AUTOMOVIL,MOTO,SD,SD,11,-34.604433,-58.47793
LC-2019-0544417,2019-08-30,20,LEVE - SIN LESIONES,M,41,AUTOMOVIL,BICICLETA,SD,SD,14,-34.586432,-58.433328
LC-2019-0545020,2019-08-30,10,LEVE - SIN LESIONES,F,46,AUTOMOVIL,BICICLETA,SD,SD,13,-34.574839,-58.44773
LC-2019-0549078,2019-08-30,5,LEVE - SIN LESIONES,F,41,AUTOMOVIL,SD,SD,SD,1,-34.594709,-58.372706
LC-2019-0552260,2019-08-30,14,LEVE - SIN LESIONES,F,41,TRANSPORTE PUBLICO,SD,SD,SD,4,-34.634245,-58.390903
LC-2019-0589292,2019-08-30,7,LEVE - SIN LESIONES,M,30,MOTO,SD,SD,SD,3,-34.627041,-58.391193
LC-2019-0544861,2019-08-31,23,LEVE - SIN LESIONES,M,32,AUTOMOVIL,SD,SD,SD,3,-34.615248,-58.409685
LC-2019-0544861,2019-08-31,23,LEVE - SIN LESIONES,F,40,AUTOMOVIL,SD,SD,SD,3,-34.615248,-58.409685
LC-2019-0544861,2019-08-31,23,LEVE - SIN LESIONES,M,59,AUTOMOVIL,SD,SD,SD,3,-34.615248,-58.409685
LC-2019-0544861,2019-08-31,23,LEVE - SIN LESIONES,M,66,AUTOMOVIL,SD,SD,SD,3,-34.615248,-58.409685
LC-2019-0544910,2019-08-31,7,LEVE - SIN LESIONES,M,43,AUTOMOVIL,BICICLETA,SD,SD,6,-34.625486,-58.453897
LC-2019-0544931,2019-08-31,9,LEVE - SIN LESIONES,F,29,AUTOMOVIL,MOTO,SD,SD,9,-34.653788,-58.480988
LC-2019-0544995,2019-08-31,9,LEVE - SIN LESIONES,M,54,AUTOMOVIL,MOTO,SD,SD,11,-34.601733,-58.489825
LC-2019-0545118,2019-08-31,10,LEVE - SIN LESIONES,F,44,AUTOMOVIL,TRANSPORTE PUBLICO,SD,SD,1,-34.591004,-58.373546
LC-2019-0545285,2019-08-31,11,LEVE - SIN LESIONES,M,34,PEATON,MOTO,SD,SD,13,-34.536689,-58.466304
LC-2019-0545427,2019-08-31,12,LEVE - SIN LESIONES,F,28,AUTOMOVIL,MOTO,SD,SD,13,-34.555482,-58.462534
LC-2019-0545449,2019-08-31,14,LEVE - SIN LESIONES,F,24,TRANSPORTE PUBLICO,MOTO,SD,SD,4,-34.634392,-58.36848
LC-2019-0545518,2019-08-31,16,LEVE - SIN LESIONES,M,64,AUTOMOVIL,SD,SD,SD,1,-34.628327,-58.379419
LC-2019-0545533,2019-08-31,15,LEVE - SIN LESIONES,F,25,AUTOMOVIL,MOTO,SD,SD,7,-34.627423,-58.471104
LC-2019-0545533,2019-08-31,15,LEVE - SIN LESIONES,M,5,AUTOMOVIL,MOTO,SD,SD,7,-34.627423,-58.471104
LC-2019-0545551,2019-08-31,12,LEVE - SIN LESIONES,M,38,MOTO,SD,SD,SD,13,-34.562827,-58.443637
LC-2019-0545595,2019-08-31,17,LEVE - SIN LESIONES,F,12,SD,SD,SD,SD,15,-34.599709,-58.446715
LC-2019-0545595,2019-08-31,17,LEVE - SIN LESIONES,F,39,SD,SD,SD,SD,15,-34.599709,-58.446715
LC-2019-0545665,2019-08-31,16,LEVE - SIN LESIONES,M,26,BICICLETA,SD,SD,SD,13,-34.558361,-58.465814
LC-2019-0545671,2019-08-31,18,LEVE - SIN LESIONES,F,84,TRANSPORTE PUBLICO,BICICLETA,SD,SD,3,-34.608269,-58.396386
LC-2019-0545787,2019-08-31,20,LEVE - SIN LESIONES,M,36,MOTO,SD,SD,SD,13,-34.570613,-58.460952
LC-2019-0545803,2019-08-31,19,LEVE - SIN LESIONES,M,58,TRANSPORTE PUBLICO,SD,SD,SD,8,-34.682118,-58.467776
LC-2019-0545820,2019-08-31,19,LEVE - SIN LESIONES,M,27,TRANSPORTE PUBLICO,SD,SD,SD,1,-34.596901,-58.384182
LC-2019-0545880,2019-08-31,16,LEVE - SIN LESIONES,M,21,SD,SD,SD,SD,5,-34.609958,-58.421284
LC-2019-0545900,2019-08-31,22,LEVE - SIN LESIONES,M,27,AUTOMOVIL,SD,SD,SD,4,-34.651017,-58.406114
LC-2019-0545900,2019-08-31,22,LEVE - SIN LESIONES,M,39,AUTOMOVIL,SD,SD,SD,4,-34.651017,-58.406114
LC-2019-0545908,2019-08-31,21,LEVE - SIN LESIONES,M,32,AUTOMOVIL,MOTO,SD,SD,SD,SD,SD
LC-2019-0548267,2019-08-31,13,LEVE - SIN LESIONES,M,41,AUTOMOVIL,MOTO,SD,SD,10,-34.625715,-58.529911
LC-2019-0546016,2019-09-01,1,LEVE - SIN LESIONES,M,32,AUTOMOVIL,TRANSPORTE PUBLICO,SD,SD,7,-34.653928,-58.456996
LC-2019-0546061,2019-09-01,2,LEVE - SIN LESIONES,M,45,AUTOMOVIL,BICICLETA,SD,SD,12,-34.565187,-58.482695
LC-2019-0546234,2019-09-01,16,LEVE - SIN LESIONES,F,25,AUTOMOVIL,MOTO,SD,SD,9,-34.653344,-58.495938
LC-2019-0546458,2019-09-01,10,LEVE - SIN LESIONES,M,65,PEATON,SD,SD,SD,7,-34.626368,-58.471575
LC-2019-0546510,2019-09-01,12,LEVE - SIN LESIONES,M,42,AUTOMOVIL,MOTO,SD,SD,11,-34.617268,-58.467961
LC-2019-0546721,2019-09-01,16,LEVE - SIN LESIONES,M,28,TRANSPORTE PUBLICO,MOTO,SD,SD,11,-34.598681,-58.517731
LC-2019-0546979,2019-09-01,19,LEVE - SIN LESIONES,M,40,AUTOMOVIL,MOTO,SD,SD,8,-34.662785,-58.433068
LC-2019-0546981,2019-09-01,18,LEVE - SIN LESIONES,F,22,AUTOMOVIL,SD,SD,SD,9,-34.64529,-58.484568
LC-2019-0546981,2019-09-01,18,LEVE - SIN LESIONES,F,23,AUTOMOVIL,SD,SD,SD,9,-34.64529,-58.484568
LC-2019-0546981,2019-09-01,18,LEVE - SIN LESIONES,F,25,AUTOMOVIL,SD,SD,SD,9,-34.64529,-58.484568
LC-2019-0547054,2019-09-01,20,LEVE - SIN LESIONES,M,25,AUTOMOVIL,MOTO,SD,SD,3,-34.617043,-58.404144
LC-2019-0547096,2019-09-01,19,LEVE - SIN LESIONES,M,37,AUTOMOVIL,MOTO,SD,SD,1,-34.600286,-58.382001
LC-2019-0547144,2019-09-01,21,LEVE - SIN LESIONES,F,31,AUTOMOVIL,SD,SD,SD,7,-34.633879,-58.438515
LC-2019-0547144,2019-09-01,21,LEVE - SIN LESIONES,M,67,AUTOMOVIL,SD,SD,SD,7,-34.633879,-58.438515
LC-2019-0551758,2019-09-01,16,LEVE - SIN LESIONES,M,46,SD,SD,SD,SD,5,-34.610311,-58.426028
LC-2019-0599907,2019-09-01,2,LEVE - SIN LESIONES,F,20,SD,SD,SD,SD,12,-34.569999,-58.509038
LC-2019-0599907,2019-09-01,2,LEVE - SIN LESIONES,F,25,SD,SD,SD,SD,12,-34.569999,-58.509038
LC-2019-0694000,2019-09-01,18,LEVE - SIN LESIONES,F,70,TRANSPORTE PUBLICO,SD,SD,SD,1,-34.626368,-58.380189
LC-2019-0547476,2019-09-02,7,LEVE - SIN LESIONES,M,23,PEATON,MOTO,SD,SD,15,-34.604491,-58.458475
LC-2019-0547716,2019-09-02,9,LEVE - SIN LESIONES,M,28,AUTOMOVIL,MOTO,SD,SD,4,-34.63927,-58.414343
LC-2019-0547959,2019-09-02,9,LEVE - SIN LESIONES,M,41,AUTOMOVIL,MOTO,SD,SD,1,-34.60502,-58.376531
LC-2019-0548030,2019-09-02,7,LEVE - SIN LESIONES,M,35,TRANSPORTE PUBLICO,MOTO,SD,SD,12,-34.574897,-58.489407
LC-2019-0548241,2019-09-02,9,LEVE - SIN LESIONES,M,39,AUTOMOVIL,BICICLETA,SD,SD,15,-34.604608,-58.44962
LC-2019-0548427,2019-09-02,13,LEVE - SIN LESIONES,F,65,AUTOMOVIL,BICICLETA,SD,SD,7,-34.635269,-58.43852
LC-2019-0549087,2019-09-02,14,LEVE - SIN LESIONES,M,33,PEATON,SD,SD,SD,13,-34.535844,-58.466808
LC-2019-0549095,2019-09-02,11,LEVE - SIN LESIONES,M,36,AUTOMOVIL,MOTO,SD,SD,11,-34.597077,-58.497706
LC-2019-0549292,2019-09-02,17,LEVE - SIN LESIONES,M,30,AUTOMOVIL,MOTO,SD,SD,10,-34.634543,-58.528828
LC-2019-0549333,2019-09-02,16,LEVE - SIN LESIONES,M,26,AUTOMOVIL,BICICLETA,SD,SD,4,-34.652577,-58.417788
LC-2019-0549337,2019-09-02,17,LEVE - SIN LESIONES,M,27,AUTOMOVIL,BICICLETA,SD,SD,10,-34.635765,-58.487611
LC-2019-0549395,2019-09-02,15,LEVE - SIN LESIONES,M,40,AUTOMOVIL,TRANSPORTE PUBLICO,SD,SD,1,-34.627801,-58.381439
LC-2019-0549549,2019-09-02,18,LEVE - SIN LESIONES,F,27,AUTOMOVIL,MOTO,SD,SD,15,-34.594228,-58.443531
LC-2019-0549549,2019-09-02,18,LEVE - SIN LESIONES,M,28,AUTOMOVIL,MOTO,SD,SD,15,-34.594228,-58.443531
LC-2019-0549578,2019-09-02,20,LEVE - SIN LESIONES,F,27,AUTOMOVIL,SD,SD,SD,8,-34.662346,-58.485509
LC-2019-0549604,2019-09-02,18,LEVE - SIN LESIONES,M,29,PEATON,MOTO,SD,SD,12,-34.572347,-58.488876
LC-2019-0549674,2019-09-02,18,LEVE - SIN LESIONES,F,18,AUTOMOVIL,MOTO,SD,SD,4,-34.646019,-58.383411
LC-2019-0549674,2019-09-02,18,LEVE - SIN LESIONES,M,20,AUTOMOVIL,MOTO,SD,SD,4,-34.646019,-58.383411
LC-2019-0549686,2019-09-02,17,LEVE - SIN LESIONES,M,34,AUTOMOVIL,MOTO,SD,SD,1,-34.604035,-58.380964
LC-2019-0549707,2019-09-02,20,LEVE - SIN LESIONES,M,20,AUTOMOVIL,TRANSPORTE PUBLICO,SD,SD,5,-34.638667,-58.414558
LC-2019-0549707,2019-09-02,20,LEVE - SIN LESIONES,F,29,AUTOMOVIL,TRANSPORTE PUBLICO,SD,SD,5,-34.638667,-58.414558
LC-2019-0549771,2019-09-02,21,LEVE - SIN LESIONES,M,28,AUTOMOVIL,BICICLETA,SD,SD,13,-34.55366,-58.452124
LC-2019-0549794,2019-09-02,20,LEVE - SIN LESIONES,M,27,AUTOMOVIL,SD,SD,SD,7,-34.631128,-58.471193
LC-2019-0549888,2019-09-02,23,LEVE - SIN LESIONES,M,21,AUTOMOVIL,BICICLETA,SD,SD,2,-34.593341,-58.405112
LC-2019-0555337,2019-09-02,7,LEVE - SIN LESIONES,F,29,TRANSPORTE PUBLICO,BICICLETA,SD,SD,4,-34.636352,-58.400877
LC-2019-0549981,2019-09-03,12,LEVE - SIN LESIONES,F,24,AUTOMOVIL,SD,SD,SD,SD,SD,SD
LC-2019-0550655,2019-09-03,8,LEVE - SIN LESIONES,M,34,AUTOMOVIL,MOTO,SD,SD,12,-34.583896,-58.512376
LC-2019-0550723,2019-09-03,5,LEVE - SIN LESIONES,F,33,AUTOMOVIL,MOTO,SD,SD,6,-34.626996,-58.426759
LC-2019-0550775,2019-09-03,10,LEVE - SIN LESIONES,F,22,TRANSPORTE PUBLICO,SD,SD,SD,1,-34.617114,-58.372049
LC-2019-0550775,2019-09-03,10,LEVE - SIN LESIONES,F,47,TRANSPORTE PUBLICO,SD,SD,SD,1,-34.617114,-58.372049
LC-2019-0550924,2019-09-03,10,LEVE - SIN LESIONES,M,45,AUTOMOVIL,MOTO,SD,SD,12,-34.571655,-58.482953
LC-2019-0550935,2019-09-03,10,LEVE - SIN LESIONES,M,53,MOTO,SD,SD,SD,13,-34.543514,-58.447681
LC-2019-0550935,2019-09-03,10,LEVE - SIN LESIONES,M,37,MOTO,SD,SD,SD,13,-34.543514,-58.447681
LC-2019-0551096,2019-09-03,12,LEVE - SIN LESIONES,F,82,MOTO,SD,SD,SD,12,-34.552046,-58.500649
LC-2019-0551128,2019-09-03,11,LEVE - SIN LESIONES,M,25,BICICLETA,SD,SD,SD,1,-34.617737,-58.391596
LC-2019-0551252,2019-09-03,12,LEVE - SIN LESIONES,M,47,BICICLETA,SD,SD,SD,1,-34.612328,-58.369566
LC-2019-0551310,2019-09-03,13,LEVE - SIN LESIONES,M,18,SD,SD,SD,SD,1,-34.617251,-58.374447
LC-2019-0551361,2019-09-03,12,LEVE - SIN LESIONES,M,43,MOTO,SD,SD,SD,7,-34.6404,-58.462066
LC-2019-0551517,2019-09-03,13,LEVE - SIN LESIONES,M,29,MOTO,SD,SD,SD,1,-34.619758,-58.380622
LC-2019-0551538,2019-09-03,13,LEVE - SIN LESIONES,M,27,SD,SD,SD,SD,8,-34.670296,-58.474254
LC-2019-0551653,2019-09-03,15,LEVE - SIN LESIONES,M,19,MOTO,BICICLETA,SD,SD,5,-34.633003,-58.42526
LC-2019-0551800,2019-09-03,14,LEVE - SIN LESIONES,M,41,MOTO,SD,SD,SD,5,-34.602577,-58.427826
LC-2019-0551839,2019-09-03,15,LEVE - SIN LESIONES,M,48,SD,SD,SD,SD,1,-34.5916,-58.381565
LC-2019-0551883,2019-09-03,14,LEVE - SIN LESIONES,M,23,MOTO,SD,SD,SD,15,-34.603457,-58.46209
LC-2019-0551883,2019-09-03,14,LEVE - SIN LESIONES,F,25,MOTO,SD,SD,SD,15,-34.603457,-58.46209
LC-2019-0552199,2019-09-03,16,LEVE - SIN LESIONES,M,12,SD,SD,SD,SD,9,-34.667195,-58.5057
LC-2019-0552199,2019-09-03,16,LEVE - SIN LESIONES,M,33,SD,SD,SD,SD,9,-34.667195,-58.5057
LC-2019-0552269,2019-09-03,14,LEVE - SIN LESIONES,M,41,SD,SD,SD,SD,SD,SD,SD
LC-2019-0552295,2019-09-03,18,LEVE - SIN LESIONES,F,49,BICICLETA,SD,SD,SD,2,-34.597231,-58.393198
LC-2019-0552325,2019-09-03,18,LEVE - SIN LESIONES,M,19,MOTO,TRANSPORTE PUBLICO,SD,SD,14,-34.585314,-58.428849
